time,phase_A,phase_B,phase_C
2.16,4.1499731801917195,4.188587831411528,4.184638988396754
2.17,4.1608839167659895,4.198968344306365,4.193547738927648
2.18,4.171776053258286,4.209341792924717,4.202482153816998
2.19,4.182649996458761,4.219708339802518,4.211441663738722
2.2,4.193506144452321,4.230068143584394,4.220425711963286
2.21,4.204344886793485,4.240421359122245,4.229433754084273
2.22,4.215166604678405,4.250768137571213,4.238465257750384
2.23,4.225971671114066,4.26110862648311,4.247519702402826
2.24,4.236760451084652,4.271442969897367,4.256596579017983
2.25,4.247533301715105,4.281771308429562,4.265695389855335
2.2600000000000002,4.258290572431885,4.292093779357595,4.274815648210523
2.27,4.269032605120938,4.302410516705566,4.283956878173497
2.2800000000000002,4.2797597342829095,4.312721651325423,4.293118614391671
2.29,4.290472287185591,4.323027310976421,4.30230040183799
2.3000000000000003,4.3011705840136605,4.333327620402481,4.311501795583862
2.31,4.311854938015702,4.343622701407468,4.320722360576834
2.32,4.322525655648557,4.353912672928474,4.329961671422972
2.33,4.3331830367190225,4.364197651107147,4.339219312173834
2.34,4.343827374522916,4.374477749359115,4.348494876117973
2.35,4.354458955981553,4.384753078441571,4.357787965576881
2.36,4.365078061775652,4.3950237465190565,4.367098191705296
2.37,4.375684966476709,4.405289859227499,4.376425174295797
2.38,4.386279938675859,4.415551519736552,4.385768541587594
2.39,4.396863241110271,4.425808828810284,4.3951279300794495
2.4,4.407435130787101,4.436061884866263,4.404502984346641
2.41,4.417995859105036,4.446310784033076,4.413893356861892
2.42,4.42854567197347,4.456555620206339,4.423298707820194
2.43,4.4390848099293345,4.46679648510323,4.4327187049674395
2.44,4.449613508251625,4.477033468315585,4.442153023432794
2.45,4.460131997073665,4.487266657361609,4.45160134556473
2.46,4.470640501493122,4.497496137736228,4.461063360770654
2.47,4.481139241679835,4.507721992960128,4.47053876536004
2.48,4.491628432981466,4.51794430462752,4.480027262391017
2.49,4.5021082860270285,4.528163152452647,4.489528561520327
2.5,4.5125790068283145,4.538378614315109,4.499042378856579
2.5100000000000002,4.523040796879263,4.548590766303991,4.5085684368167485
2.52,4.533493853253304,4.558799682760863,4.518106463985836
2.5300000000000002,4.543938368698706,4.569005436321668,4.527656194979628
2.54,4.5543745317319715,4.579208097957538,4.537217370310494
2.5500000000000003,4.564802526729305,4.5894077370145485,4.546789736256151
2.56,4.575222534016194,4.599604421252476,4.556373044731335
2.57,4.585634729955136,4.609798216882545,4.565967053162323
2.58,4.596039287031542,4.619989188604232,4.57557152436423
2.59,4.606436373937849,4.630177399641118,4.585186226421038
2.6,4.6168261556558825,4.640362911775843,4.59481093256828
2.61,4.627208793537489,4.650545785384172,4.604445421078345
2.62,4.637584445383483,4.660726079468202,4.614089475148321
2.63,4.647953265520933,4.670903851688735,4.623742882790339
2.64,4.658315404878813,4.681079158396834,4.633405436724359
2.65,4.668671011062071,4.691252054664595,4.64307693427334
2.66,4.679020228424115,4.701422594315144,4.652757177260748
2.67,4.689363198137776,4.71159082995189,4.662445971910341
2.68,4.699700058264757,4.721756812987049,4.6721431287482
2.69,4.710030943823608,4.7319205936694635,4.681848462506934
2.7,4.720355986856257,4.742082221111726,4.691561792032022
2.71,4.730675316493109,4.752241743316644,4.701282940190252
2.72,4.74098905901677,4.762399207203043,4.711011733780191
2.73,4.751297337924398,4.772554658630941,4.720748003444665
2.74,4.761600273988719,4.782708142426104,4.730491583585182
2.75,4.771897985317736,4.792859702404002,4.740242312278268
2.7600000000000002,4.782190587413151,4.803009381393177,4.750000031193678
2.77,4.792478193227537,4.8131572212580505,4.759764585514419
2.7800000000000002,4.802760913220274,4.823303262921163,4.769535823858569
2.79,4.813038855412275,4.83344754638489,4.779313598202842
2.8000000000000003,4.823312125439542,4.843590110752617,4.789097763807848
2.81,4.833580826605552,4.853730994249417,4.798888179145037
2.82,4.84384505993252,4.8638702342422215,4.808684705825264
2.83,4.854104924211543,4.874007867259511,4.818487208528952
2.84,4.864360516051666,4.884143929010529,4.828295554937811
2.85,4.874611929927876,4.894278454404037,4.838109615668093
2.86,4.884859258228058,4.904411477566628,4.8479292642053196
2.87,4.895102591298932,4.91454303186059,4.857754376840483
2.88,4.905342017490985,4.924673149901359,4.867584832607661
2.89,4.91557762320243,4.934801863574547,4.8774205132230275
2.9,4.925809492922209,4.944929204052569,4.887261303025227
2.91,4.936037709272052,4.955055201810875,4.8971070889170765
2.92,4.946262353047626,4.965179886643808,4.90695776030857
2.93,4.956483503258777,4.975303287680071,4.916813209061156
2.94,4.966701237168905,4.985425433397845,4.926673329433254
2.95,4.976915630333469,4.9955463516395415,4.936538018026994
2.96,4.987126756637651,5.005666069626218,4.946407173736135
2.97,4.997334688333202,5.015784613971646,4.9562806976951554
2.98,5.007539496074476,5.025902010696055,4.9661584932294724
2.99,5.0177412489536755,5.036018285239558,4.976040465806771
3.0,5.027940014535324,5.046133462475257,4.9859265229894225
3.0100000000000002,5.03813585888999,5.0562475667220514,4.995816574387962
3.02,5.04832884662726,5.06636062175714,5.005710531615603
3.0300000000000002,5.058519040927996,5.076472650828241,5.015608308243766
3.04,5.068706503575883,5.08658367666552,5.025509819758599
3.0500000000000003,5.078891294988283,5.096693721493252,5.035414983518467
3.06,5.089073474246411,5.106802807041204,5.045323718712387
3.0700000000000003,5.099253099124848,5.1169109545557605,5.055235946319393
3.08,5.109430226120408,5.127018184810792,5.065151589068802
3.09,5.1196049104803665,5.137124518118269,5.075070571401366
3.1,5.1297772062300675,5.1472299743386385,5.084992819431297
3.11,5.139947166199927,5.157334572890954,5.094918260909122
3.12,5.15011484205184,5.167438332762782,5.104846825185381
3.13,5.1602802843050055,5.177541272519874,5.1147784431751235
3.14,5.170443542361183,5.187643410315619,5.124713047323201
3.15,5.180604664529393,5.197744763900283,5.134650571570328
3.16,5.190763698050072,5.2078453506300315,5.144590951319899
3.17,5.2009206891187,5.217945187475754,5.154534123405549
3.18,5.211075682908898,5.2280442910316784,5.164480026059427
3.19,5.221228723595027,5.238142677523793,5.174428598881183
3.2,5.231379854374279,5.248240362818081,5.184379782807643
3.21,5.241529117488286,5.258337362428562,5.1943335200831555
3.22,5.251676554244251,5.268433691525149,5.204289754230603
3.23,5.261822205035616,5.278529364941337,5.21424843002305
3.24,5.271966109362264,5.2886243971817075,5.224209493456031
3.25,5.282108305850289,5.298718802429264,5.2341728917204495
3.2600000000000002,5.292248832271317,5.3088125945526095,5.244138573176078
3.27,5.302387725561406,5.318905787112949,5.2541064873256484
3.2800000000000002,5.312525021839531,5.328998393370948,5.264076584789525
3.29,5.322660756425656,5.339090426293421,5.274048817280926
3.3000000000000003,5.33279496385841,5.349181898559881,5.284023137581711
3.31,5.342927677912368,5.359272822568939,5.293999499518695
3.3200000000000003,5.353058931614956,5.369363210444549,5.303977857940496
3.33,5.36318875726298,5.379453074042128,5.313958168694892
3.34,5.37331718643879,5.389542424954527,5.323940388606684
3.35,5.383444250026081,5.399631274517872,5.333924475456048
3.36,5.393569978225356,5.409719633817272,5.343910387957373
3.37,5.403694400569039,5.419807513692403,5.353898085738559
3.38,5.413817545936255,5.429894924742956,5.36388752932079
